#,Nom,Niveau,Puissance,Dégâts,Capacité,cond.,mult.,puis.,modif
1,Ludwig,1,4,3,Surcharge : -2 PV à chaque joueur,1,0,0,
2,Gernham,1,4,0,+1 Puissance par Dégât de base adverse,1,0,0,
3,Lady Maria,1,4,0,Victoire : vampirisme 2,1,1,0,
4,Oogway,1,3,1,Votre adverse révèle ses Péripéties,0,0,1,
5,Shen,1,4,2,Impatience : +1 Dégât,0,1,0,
6,Katara,1,4,1,Victoire : +3PV,1,0,0,
7,Zuko,1,4,0,+1 Dégât par carte Puissance,0,1,0,
8,Reine Meve,1,3,3,Si votre adversaire a pioché plus de cartes puissance que vous : -3 Dégâts adverse,1,0,1,
9,Gascon,1,3,1,Défaite : l'adversaire perd 3PV,1,0,0,
10,Violet,2,5,5,Victoire : -2 PV soi,1,0,0,
11,Zorro,2,5,3,Si votre adversaire surcharge : il perd 2PV,1,0,0,
12,Jak Horner,2,3,2,Votre limite de Malus est de 4,0,0,1,
13,Shifu,2,4,3,Vos Adversités deviennent des 0/1,0,0,1,
14,Tigresse,2,5,1,-2 Dégâts adverses,0,0,0,
15,Iroh,2,3,3,-1 Puissance et Dégâts adverse par niveau adverse,0,1,0,
16,Toph,2,5,3,Votre adverse tire sa première carte Puissance face cachée,0,0,1,
17,Seigneur skaven,2,4,1,L'adversaire révèle sa première carte Puissance,0,0,1,
18,Morpheus,2,5,1,Annule les cartes Destin tirées par l’adversaire,0,0,1,
19,Garp,2,4,3,Patience : +1 Puissance,0,1,0,
20,Xaden,3,5,4,+1P par carte Puissance,0,1,1,
21,Luffy,3,5,2,Impatience : +1 Dégât,0,1,0,
22,Le chasseur,3,3,4,+1 Puissance par niveau adverse,0,1,0,
23,Le loup,3,4,4,"Lors de votre première pioche, piochez 2 cartes Puissances, et remettez-en une sur le dessus de / sous la pioche",0,0,0,
24,Po,3,5,3,Vos Péripéties deviennent des 1/0,0,0,1,
25,Tai lung,3,5,4,Si vous avez moins de PV que votre adversaire : -2 Puissance et Dégâts adverses,1,0,0,
26,Aang,3,5,2,+1D par carte Puissance,0,1,1,
27,Néo,3,6,2,Protection. Annule la première Adversité piochée,0,0,1,
28,Smith,3,4,4,Annule et copie la capacité adverse,0,0,1,
29,Venin,3,5,3,Si adversaire de rang 1 : +3 Dégâts,1,0,0,
,,,,,,0.34,0.31,0.41,
,,,,,,,,,
,,,,,,,,,
,,,,,Annule la capacité adverse,,,,
