,Aang,Garp,Gascon,Gernham,Iroh,Jak Horner,Katara,Lady Maria,Le chasseur,Le loup,Ludwig,Luffy,Morpheus,Néo,Oogway,Po,Reine Meve,Seigneur skaven,Shen,Shifu,Smith,Tai lung,Tigresse,Toph,Venin,Violet,Xaden,Zorro,Zuko
Aang,,43.5,82.1,30.5,30.5,37.9,69.2,68.9,30.9,55.4,69.6,49.8,32.2,35.3,28.9,39.9,81.0,67.8,69.7,59.1,69.5,34.5,49.8,49.6,49.7,48.3,37.9,50.4,68.4
Garp,56.5,,84.2,28.5,58.9,45.2,74.2,72.5,57.3,61.7,71.5,57.6,42.1,48.5,42.1,48.1,82.5,50.5,73.3,66.5,50.1,42.9,58.6,59.6,58.6,57.1,48.8,57.6,72.7
Gascon,17.9,15.8,,19.3,29.3,15.3,32.3,31.7,31.8,18.1,30.8,19.6,7.7,12.4,9.8,17.9,49.6,32.3,31.2,23.3,30.3,12.6,20.4,19.7,17.7,20.0,13.7,19.7,32.3
Gernham,69.5,71.5,80.7,,90.4,54.1,67.0,48.5,93.4,88.9,89.2,69.3,30.7,55.1,20.2,68.5,93.3,48.8,80.7,85.5,61.5,80.5,49.7,80.2,81.7,93.8,84.0,80.7,50.2
Iroh,69.5,41.1,70.7,9.6,,37.9,50.0,49.2,68.7,70.2,49.2,70.0,32.5,12.5,10.6,57.6,68.1,32.1,50.7,58.0,46.0,50.1,52.8,50.0,68.1,50.0,59.0,51.7,50.1
Jak Horner,62.1,54.8,84.7,45.9,62.1,,72.0,72.7,60.7,61.4,72.5,61.7,40.3,49.9,47.1,53.0,83.2,72.0,72.6,66.5,71.5,47.5,61.5,62.6,62.8,62.3,52.4,62.1,72.2
Katara,30.8,25.9,67.7,33.0,50.0,28.0,,48.2,49.7,35.7,48.8,30.2,16.1,23.6,19.1,28.0,69.4,49.4,50.5,40.7,49.9,20.4,30.9,32.1,30.5,31.3,24.8,30.8,51.0
Lady Maria,31.1,27.4,68.3,51.5,50.8,27.3,51.8,,49.5,35.5,51.9,31.1,16.9,21.9,18.7,25.9,70.8,48.9,50.5,41.2,49.2,21.9,33.3,31.2,29.6,32.6,23.5,30.9,50.9
Le chasseur,69.1,42.7,68.2,6.6,31.3,39.3,50.3,50.5,,71.5,47.8,67.8,31.2,55.7,19.5,58.1,70.7,31.2,48.0,60.3,44.5,49.9,49.5,51.0,70.2,50.1,57.2,50.1,49.9
Le loup,44.6,38.3,82.0,11.1,29.8,38.6,64.3,64.5,28.5,,63.1,44.8,26.7,35.5,31.1,39.0,82.3,63.0,63.3,53.5,62.9,32.1,43.6,45.4,44.2,43.9,34.8,45.2,63.6
Ludwig,30.4,28.5,69.2,10.8,50.8,27.4,51.2,48.1,52.2,36.9,,29.8,17.6,23.2,20.2,27.2,69.0,49.0,50.0,41.7,51.3,20.9,31.1,30.3,31.1,29.9,23.9,29.1,51.0
Luffy,50.2,42.4,80.4,30.7,30.0,38.3,69.8,69.0,32.2,55.2,70.2,,30.9,36.5,30.4,39.9,79.7,69.5,69.0,58.6,70.2,35.0,50.0,50.7,51.3,49.6,38.2,50.2,68.1
Morpheus,67.8,57.9,92.3,69.3,67.5,59.7,83.9,83.1,68.8,73.3,82.4,69.1,,40.9,38.9,54.4,92.8,79.5,83.9,75.4,78.9,51.2,66.8,69.3,68.3,68.3,54.2,68.2,84.7
