combattant,niveau,moyenne_matchups_pct,ecart_type_matchups_pct,meilleur_matchup,pire_matchup,taux_victoire_equipe_pct
Ludwig,1,36.9,14.7,Gascon (69%),Gernham (11%),47.6
Gernham,1,70.3,19.1,Violet (94%),Oogway (20%),49.7
Lady Maria,1,38.4,14.2,Reine Meve (71%),Morpheus (17%),52.9
Oogway,1,72.7,10.5,Gascon (90%),Jak Horner (53%),47.2
Shen,1,37.0,14.4,Reine Meve (70%),Morpheus (16%),46.8
Katara,1,37.4,13.6,Reine Meve (69%),Morpheus (16%),53.0
Zuko,1,38.2,13.7,Reine Meve (68%),Morpheus (15%),48.7
Reine Meve,1,22.1,9.3,Gascon (50%),Gernham (7%),45.1
Gascon,1,22.6,9.1,Reine Meve (50%),Morpheus (8%),46.9
Violet,2,52.1,16.6,Reine Meve (80%),Gernham (6%),50.4
Zorro,2,52.7,15.7,Reine Meve (81%),Gernham (19%),53.7
Jak Horner,2,62.5,10.8,Gascon (85%),Morpheus (40%),49.3
Shifu,2,43.4,14.9,Reine Meve (77%),Gernham (15%),48.0
Tigresse,2,53.6,14.2,Reine Meve (81%),Oogway (29%),49.6
Iroh,2,49.5,17.2,Gascon (71%),Gernham (10%),54.5
Toph,2,52.7,15.4,Reine Meve (81%),Gernham (20%),51.9
Seigneur skaven,2,42.9,15.6,Reine Meve (70%),Oogway (19%),50.0
Morpheus,2,69.7,13.5,Reine Meve (93%),Oogway (39%),45.6
Garp,2,58.1,12.9,Gascon (84%),Gernham (28%),50.3
Xaden,3,58.0,16.4,Reine Meve (86%),Gernham (16%),55.4
Luffy,3,51.6,16.0,Gascon (80%),Iroh (30%),55.8
Le chasseur,3,49.7,15.4,Le loup (72%),Gernham (7%),50.9
Le loup,3,47.1,16.7,Reine Meve (82%),Gernham (11%),50.8
Po,3,59.4,12.9,Gascon (82%),Gernham (32%),51.4
Tai lung,3,62.4,16.0,Gascon (87%),Gernham (20%),55.0
Aang,3,51.4,16.2,Gascon (82%),Oogway (29%),53.7
Néo,3,65.5,12.7,Gascon (88%),Le chasseur (44%),50.5
Smith,3,40.9,13.7,Gascon (70%),Oogway (20%),48.7
Venin,3,51.5,16.9,Gascon (82%),Gernham (18%),49.2
