combattant,niveau,rang_reference,parties,victoires,taux_victoire_equipe_pct,direction_attendue
Ludwig,1,2,2000,951.5,47.6,< 50%
Gernham,1,2,2000,944.5,47.2,< 50%
Lady Maria,1,2,2000,916.5,45.8,< 50%
Oogway,1,2,2000,817.0,40.9,< 50%
Shen,1,2,2000,846.0,42.3,< 50%
Katara,1,2,2000,926.5,46.3,< 50%
Zuko,1,2,2000,837.5,41.9,< 50%
Reine Meve,1,2,2000,885.0,44.2,< 50%
Gascon,1,2,2000,888.5,44.4,< 50%
Violet,2,3,2000,886.5,44.3,< 50%
Zorro,2,3,2000,1043.0,52.1,< 50%
Jak Horner,2,3,2000,899.5,45.0,< 50%
Shifu,2,3,2000,846.5,42.3,< 50%
Tigresse,2,3,2000,892.0,44.6,< 50%
Iroh,2,3,2000,1102.5,55.1,< 50%
Toph,2,3,2000,956.5,47.8,< 50%
Seigneur skaven,2,3,2000,834.0,41.7,< 50%
Morpheus,2,3,2000,841.0,42.0,< 50%
Garp,2,3,2000,978.0,48.9,< 50%
Xaden,3,2,2000,1201.0,60.0,> 50%
Luffy,3,2,2000,1226.5,61.3,> 50%
Le chasseur,3,2,2000,1066.0,53.3,> 50%
Le loup,3,2,2000,1021.0,51.0,> 50%
Po,3,2,2000,1059.5,53.0,> 50%
Tai lung,3,2,2000,1175.0,58.8,> 50%
Aang,3,2,2000,1161.5,58.1,> 50%
Néo,3,2,2000,1145.5,57.3,> 50%
Smith,3,2,2000,1041.5,52.1,> 50%
Venin,3,2,2000,973.5,48.7,> 50%
