,Aang,Garp,Gascon,Gernham,Iroh,Jak Horner,Katara,Lady Maria,Le chasseur,Le loup,Ludwig,Luffy,Morpheus,Néo,Oogway,Po,Reine Meve,Seigneur skaven,Shen,Shifu,Smith,Tai lung,Tigresse,Toph,Venin,Violet,Xaden,Zorro,Zuko
Aang,,43.1,81.3,30.7,30.3,37.4,69.4,70.8,32.0,58.2,70.2,50.0,31.2,37.1,32.0,39.6,80.8,68.7,69.5,58.5,69.9,35.5,48.6,49.6,49.4,50.3,38.0,49.4,70.1
Garp,56.9,,82.3,27.9,58.1,47.2,71.3,71.8,57.1,61.9,72.5,56.5,42.8,48.2,42.2,47.5,83.4,49.6,72.2,65.8,49.8,43.8,59.4,56.9,58.5,58.5,46.1,58.5,72.1
Gascon,18.7,17.6,,18.8,30.2,16.5,29.4,31.5,30.9,20.0,32.3,20.6,8.1,12.2,9.2,17.9,50.5,32.1,30.3,22.2,32.2,13.2,19.0,18.6,19.5,17.8,13.2,18.6,32.2
Gernham,69.3,72.1,81.2,,89.9,52.7,70.3,51.4,98.1,89.6,90.3,70.4,33.6,55.6,19.2,67.0,93.0,51.6,80.6,86.8,63.3,79.2,48.2,80.7,81.4,93.1,83.8,80.2,52.0
Iroh,69.7,41.9,69.8,10.1,,37.5,49.7,51.5,68.5,70.7,52.0,70.5,30.9,13.2,10.8,58.4,67.8,32.0,50.3,59.9,46.7,51.4,50.8,51.4,68.7,50.0,57.6,51.0,50.2
Jak Horner,62.6,52.8,83.5,47.3,62.5,,72.1,73.0,60.9,61.8,73.8,63.0,40.4,51.9,47.5,52.9,84.8,73.8,72.9,66.3,73.8,50.0,62.5,61.5,62.2,61.6,51.8,63.5,72.6
Katara,30.6,28.7,70.6,29.7,50.3,27.9,,50.3,50.8,36.3,49.7,32.2,16.5,23.9,19.0,27.0,69.7,49.7,48.5,42.9,49.4,21.1,30.2,31.5,29.6,31.1,23.6,30.1,49.9
Lady Maria,29.2,28.2,68.5,48.6,48.5,27.1,49.7,,49.7,36.1,50.6,30.0,15.7,24.1,19.9,27.4,69.4,51.3,50.4,40.7,49.0,21.1,31.1,31.7,30.5,29.6,24.1,31.4,49.2
Le chasseur,68.0,42.9,69.2,1.9,31.5,39.1,49.2,50.3,,71.1,48.6,69.3,30.3,53.7,19.6,56.1,67.8,31.7,50.2,60.6,44.5,51.1,49.9,49.4,69.2,50.4,57.6,51.0,50.5
Le loup,41.8,38.1,80.0,10.4,29.3,38.2,63.7,63.9,28.9,,63.4,43.9,27.6,33.8,30.2,39.6,83.9,64.9,63.1,54.1,63.6,30.5,45.7,45.6,44.6,45.4,34.0,45.8,63.8
Ludwig,29.8,27.5,67.7,9.7,48.0,26.2,50.3,49.4,51.4,36.6,,30.8,16.5,24.9,20.3,25.5,68.6,48.3,49.1,41.7,50.5,19.4,30.2,30.8,31.5,29.2,25.1,28.4,49.9
Luffy,50.0,43.5,79.5,29.6,29.5,37.0,67.8,70.0,30.7,56.1,69.2,,32.5,36.9,31.6,39.6,80.2,71.6,69.3,60.4,69.0,34.9,50.6,52.7,50.2,50.6,36.6,48.4,68.6
Morpheus,68.8,57.2,91.9,66.4,69.1,59.6,83.5,84.3,69.7,72.4,83.5,67.5,,42.4,37.8,54.7,93.1,74.8,82.8,76.4,77.8,50.0,68.4,68.5,69.2,69.2,56.3,67.6,84.4
Néo,62.9,51.8,87.8,44.4,86.8,48.1,76.1,75.9,46.3,66.2,75.1,63.1,57.6,,43.5,51.5,87.6,76.2,75.1,70.1,74.9,63.9,63.0,62.3,60.6,63.0,50.2,62.7,76.0
Oogway,68.0,57.8,90.8,80.8,89.2,52.5,81.0,80.1,80.4,69.8,79.7,68.4,62.2,56.5,,57.4,88.8,80.8,80.5,76.9,81.0,70.4,68.1,68.1,70.6,69.6,57.8,70.3,80.6
Po,60.4,52.5,82.1,33.0,41.6,47.1,73.0,72.6,43.9,60.4,74.5,60.4,45.3,48.5,42.6,,83.5,70.3,73.4,64.8,68.3,47.1,60.2,61.5,60.5,60.5,49.7,60.0,72.9
Reine Meve,19.2,16.6,49.5,7.0,32.2,15.2,30.3,30.6,32.2,16.1,31.4,19.8,6.9,12.4,11.2,16.4,,30.6,30.4,23.4,31.5,13.6,19.1,19.0,19.5,20.1,13.5,17.4,29.8
Seigneur skaven,31.3,50.4,67.9,48.4,68.0,26.2,50.3,48.7,68.3,35.1,51.7,28.4,25.2,23.8,19.2,29.6,69.4,,49.3,47.5,50.4,32.0,31.2,31.0,29.8,29.5,68.8,30.5,49.5
Shen,30.4,27.8,69.7,19.4,49.7,27.1,51.5,49.6,49.8,36.9,50.9,30.7,17.1,24.9,19.5,26.6,69.6,50.7,,41.3,50.6,21.4,30.3,29.7,30.6,30.7,25.7,30.1,49.2
