combattant,niveau,moyenne_matchups_pct,ecart_type_matchups_pct,meilleur_matchup,pire_matchup,taux_victoire_equipe_pct
Ludwig,1,36.3,14.6,Reine Meve (69%),Gernham (10%),46.6
Gernham,1,70.9,19.0,Le chasseur (98%),Oogway (19%),50.6
Lady Maria,1,38.0,13.9,Reine Meve (69%),Morpheus (16%),53.5
Oogway,1,72.8,10.4,Gascon (91%),Jak Horner (52%),46.0
Shen,1,37.2,14.2,Gascon (70%),Morpheus (17%),47.6
Katara,1,37.5,14.0,Gascon (71%),Morpheus (17%),53.0
Zuko,1,38.0,14.0,Reine Meve (70%),Morpheus (16%),48.9
Reine Meve,1,22.0,9.5,Gascon (50%),Morpheus (7%),45.4
Gascon,1,22.6,9.1,Reine Meve (50%),Morpheus (8%),48.0
Violet,2,52.1,16.8,Gascon (82%),Gernham (7%),50.4
Zorro,2,52.7,16.0,Reine Meve (83%),Gernham (20%),53.6
Jak Horner,2,63.0,10.8,Reine Meve (85%),Morpheus (40%),48.6
Shifu,2,43.3,15.1,Gascon (78%),Gernham (13%),47.7
Tigresse,2,53.8,14.5,Gascon (81%),Morpheus (32%),48.2
Iroh,2,49.7,17.2,Le loup (71%),Gernham (10%),55.5
Toph,2,52.7,15.6,Gascon (81%),Gernham (19%),49.9
Seigneur skaven,2,42.5,15.4,Reine Meve (69%),Oogway (19%),49.6
Morpheus,2,69.5,13.4,Reine Meve (93%),Oogway (38%),45.7
Garp,2,57.8,12.7,Reine Meve (83%),Gernham (28%),50.3
Xaden,3,58.2,16.4,Gascon (87%),Gernham (16%),57.1
Luffy,3,51.7,16.1,Reine Meve (80%),Iroh (30%),53.5
Le chasseur,3,49.4,15.7,Le loup (71%),Gernham (2%),55.6
Le loup,3,47.1,16.9,Reine Meve (84%),Gernham (10%),49.9
Po,3,59.7,12.8,Reine Meve (84%),Gernham (33%),52.1
Tai lung,3,62.3,16.0,Gascon (87%),Gernham (21%),53.9
Aang,3,51.8,16.2,Gascon (81%),Iroh (30%),54.5
Néo,3,65.1,12.7,Gascon (88%),Oogway (44%),48.2
Smith,3,40.8,13.2,Reine Meve (69%),Oogway (19%),50.7
Venin,3,51.4,17.0,Gascon (81%),Gernham (19%),48.6
